"task","word_pt_1","word_pt_2","correct","Error_position_syllable","Error_position","prefix","suffix","type_pref_suf","word_frequency","CV_word_complete","stim1","stim2","condition","stim1_correct","is_null","isi"
"morph_task","anti","vent",0,"na","na",1,0,"anti","na","VCCVCVCC","anti","vent","prefix",0,0,500
"morph_task","in","rire",0,"na","na",1,0,"in","na","VCCVCV","in","rire","prefix",0,0,500
"morph_task","iron","isme",0,"na","na",0,1,"isme","na","VCVCVCCV","iron","isme","suffix",0,0,500
"morph_task","légèr","eté",1,"0","na",0,1,"té","1.35","CVCVCVCV","légèr","eté","suffix",1,0,500
"morph_task","vit","esse",1,"0","na",0,1,"esse","40.12","CVCVCCV","vit","esse","suffix",1,0,500
"morph_task","en","fermer",1,"0","na",1,0,"en","58.81","VCCVCCVC","en","fermer","prefix",1,0,500
"morph_task","pré","ciel",0,"na","na",1,0,"pré","na","CCVCVVC","pré","ciel","prefix",0,0,500
"morph_task","danc","erie",0,"na","na",0,1,"erie","na","CVCCVCVV","danc","erie","suffix",0,0,500
"morph_task","pais","ible",1,"0","na",0,1,"ible","7.55","CVVCVCCV","pais","ible","suffix",1,0,500
"morph_task","rich","esse",1,"0","na",0,1,"esse","13.21","CVCCVCCVCVV","rich","esse","suffix",1,0,500
"morph_task","pré","avis",1,"0","na",1,0,"pré","2","CCVVCVC","pré","avis","prefix",1,0,500
"morph_task","douc","eux",0,"na","na",0,1,"eux","na","CVVCVVC","douc","eux","suffix",0,0,500
"morph_task","froi","dure",1,"0","na",0,1,"ure","0.12","CCVVCVCV","froi","dure","suffix",1,0,500
"morph_task","bleu","isme",0,"na","na",0,1,"isme","na","CCVVVCCV","bleu","isme","suffix",0,0,500
"morph_task","dé","pluie",0,"na","na",1,0,"dé","na","CVCCVVV","dé","pluie","prefix",0,0,500
"morph_task","re","faire",1,"0","na",1,0,"re","58.27","CVCVVCV","re","faire","prefix",1,0,500
"morph_task","aim","able",1,"0","na",0,1,"able","23.41","VVCVCCV","aim","able","suffix",1,0,500
"morph_task","mal","table",0,"na","na",1,0,"mal","na","CVCCVCCV","mal","table","prefix",0,0,500
"morph_task","im","propre",1,"0","na",1,0,"im","0.5","VCCCVCCV","im","propre","prefix",1,0,500
"morph_task","rêv","ance",0,"na","na",0,1,"ance","na","CVCVCCV","rêv","ance","suffix",0,0,500
"morph_task","char","mant",1,"0","na",0,1,"ant","54.51","CCVCCVCC","char","mant","suffix",1,0,500
"morph_task","lent","euse",0,"na","na",0,1,"euse","na","CVCCVVCVVC","lent","euse","suffix",0,0,500
"morph_task","re","voir",1,"0","na",1,0,"re","262.05","CVCVVC","re","voir","prefix",1,0,500
"morph_task","an","saute",0,"na","na",1,0,"an","na","VCCVVCV","an","saute","prefix",0,0,500
"morph_task","clar","té",1,"0","na",0,1,"té","4.62","CCVCCV","clar","té","suffix",1,0,500
"morph_task","in","juste",1,"0","na",1,0,"in","17.46","VCCVCCV","in","juste","prefix",1,0,500
"morph_task","cour","ance",0,"na","na",0,1,"ance","na","CVVCVCCV","cour","ance","suffix",0,0,500
"morph_task","in","sucré",0,"na","na",1,0,"in","na","VCCVCCV","in","sucré","prefix",0,0,500
"morph_task","fai","blasse",0,"na","na",0,1,"asse","na","CVVCCVCCV","fai","blasse","suffix",0,0,500
"morph_task","anti","vol",1,"0","na",1,0,"anti","0.3","VCCVCVCC","anti","vol","prefix",1,0,500
"morph_task","dé","bois",0,"na","na",1,0,"dé","na","CVCVVC","dé","bois","prefix",0,0,500
"morph_task","re","couvrir",1,"0","na",1,0,"re","11.04","CVCVVCCVC","re","couvrir","prefix",1,0,500
