"number1","number2","distance","num1_greater","num2_greater","stim1","stim2","condition","stim1_correct","is_null","isi"
1,4,3,0,1,"1","4","dist-3-4",0,0,500
6,5,1,1,0,"6","5","dist-1-2",1,0,500
6,2,4,1,0,"6","2","dist-3-4",1,0,500
6,8,2,0,1,"6","8","dist-1-2",0,0,500
8,5,3,1,0,"8","5","dist-3-4",1,0,500
2,9,7,0,1,"2","9","dist-7-8",0,0,500
2,6,4,0,1,"2","6","dist-3-4",0,0,500
4,7,3,0,1,"4","7","dist-3-4",0,0,500
5,4,1,1,0,"5","4","dist-1-2",1,0,500
5,7,2,0,1,"5","7","dist-1-2",0,0,500
1,2,1,0,1,"1","2","dist-1-2",0,0,500
7,3,4,1,0,"7","3","dist-3-4",1,0,500
3,7,4,0,1,"3","7","dist-3-4",0,0,500
4,3,1,1,0,"4","3","dist-1-2",1,0,500
9,3,6,1,0,"9","3","dist-5-6",1,0,500
2,7,5,0,1,"2","7","dist-5-6",0,0,500
6,4,2,1,0,"6","4","dist-1-2",1,0,500
1,9,8,0,1,"1","9","dist-7-8",0,0,500
5,2,3,1,0,"5","2","dist-3-4",1,0,500
8,2,6,1,0,"8","2","dist-5-6",1,0,500
9,4,5,1,0,"9","4","dist-5-6",1,0,500
6,7,1,0,1,"6","7","dist-1-2",0,0,500
1,9,8,0,1,"1","9","dist-7-8",0,0,500
8,1,7,1,0,"8","1","dist-7-8",1,0,500
4,6,2,0,1,"4","6","dist-1-2",0,0,500
7,1,6,1,0,"7","1","dist-5-6",1,0,500
2,5,3,0,1,"2","5","dist-3-4",0,0,500
1,8,7,0,1,"1","8","dist-7-8",0,0,500
9,1,8,1,0,"9","1","dist-7-8",1,0,500
5,3,2,1,0,"5","3","dist-1-2",1,0,500
4,5,1,0,1,"4","5","dist-1-2",0,0,500
9,1,8,1,0,"9","1","dist-7-8",1,0,500
9,5,4,1,0,"9","5","dist-3-4",1,0,500
8,3,5,1,0,"8","3","dist-5-6",1,0,500
4,8,4,0,1,"4","8","dist-3-4",0,0,500
7,5,2,1,0,"7","5","dist-1-2",1,0,500
2,4,2,0,1,"2","4","dist-1-2",0,0,500
7,6,1,1,0,"7","6","dist-1-2",1,0,500
1,6,5,0,1,"1","6","dist-5-6",0,0,500
1,5,4,0,1,"1","5","dist-3-4",0,0,500
6,3,3,1,0,"6","3","dist-3-4",1,0,500
7,2,5,1,0,"7","2","dist-5-6",1,0,500
5,8,3,0,1,"5","8","dist-3-4",0,0,500
5,9,4,0,1,"5","9","dist-3-4",0,0,500
7,2,5,1,0,"7","2","dist-5-6",1,0,500
3,9,6,0,1,"3","9","dist-5-6",0,0,500
3,4,1,0,1,"3","4","dist-1-2",0,0,500
7,2,5,1,0,"7","2","dist-5-6",1,0,500
8,4,4,1,0,"8","4","dist-3-4",1,0,500
1,8,7,0,1,"1","8","dist-7-8",0,0,500
7,4,3,1,0,"7","4","dist-3-4",1,0,500
9,2,7,1,0,"9","2","dist-7-8",1,0,500
3,8,5,0,1,"3","8","dist-5-6",0,0,500
1,7,6,0,1,"1","7","dist-5-6",0,0,500
4,9,5,0,1,"4","9","dist-5-6",0,0,500
8,1,7,1,0,"8","1","dist-7-8",1,0,500
2,8,6,0,1,"2","8","dist-5-6",0,0,500
3,1,2,1,0,"3","1","dist-1-2",1,0,500
9,1,8,1,0,"9","1","dist-7-8",1,0,500
8,6,2,1,0,"8","6","dist-1-2",1,0,500
3,9,6,0,1,"3","9","dist-5-6",0,0,500
5,6,1,0,1,"5","6","dist-1-2",0,0,500
3,6,3,0,1,"3","6","dist-3-4",0,0,500
9,3,6,1,0,"9","3","dist-5-6",1,0,500
