"task","word_pt_1","word_pt_2","correct","Error_position_syllable","Error_position","prefix","suffix","type_pref_suf","word_frequency","CV_word_complete","stim1","stim2","condition","stim1_correct","is_null","isi"
"lex_task","vi","pre",0,2,3,"na","na","na","na","CVCCV","vi","pre","suffix-false",0,0,500
"lex_task","po","mme",1,0,0,"na","na","na","42.35","CVCCV","po","mme","real-word",1,0,500
"lex_task","ron","fle",1,0,0,"na","na","na","6.62","CVCCCV","ron","fle","real-word",1,0,500
"lex_task","trui","te",1,0,0,"na","na","na","3.65","CCVVCV","trui","te","real-word",1,0,500
"lex_task","ta","bout",0,2,3,"na","na","na","na","CVCVVC","ta","bout","suffix-false",0,0,500
"lex_task","fra","be",0,1,1,"na","na","na","na","CCVCV","fra","be","prefix-false",0,0,500
"lex_task","ta","bou",1,0,0,"na","na","na","1.18","CVCVV","ta","bou","real-word",1,0,500
"lex_task","tul","be",0,1,2,"na","na","na","na","CVCCV","tul","be","prefix-false",0,0,500
"lex_task","ma","nin",0,2,3,"na","na","na","na","CVCVC","ma","nin","suffix-false",0,0,500
"lex_task","pla","re",0,1,1,"na","na","na","na","CCVCV","pla","re","prefix-false",0,0,500
"lex_task","chu","te",1,0,0,"na","na","na","25.15","CCVCV","chu","te","real-word",1,0,500
"lex_task","ge","nou",1,0,0,"na","na","na","54.24","CVCVV","ge","nou","real-word",1,0,500
"lex_task","de","nou",0,1,1,"na","na","na","na","CVCVV","de","nou","prefix-false",0,0,500
"lex_task","vi","ril",1,0,0,"na","na","na","4.82","CVCVC","vi","ril","real-word",1,0,500
"lex_task","tu","be",1,0,0,"na","na","na","17.4","CVCV","tu","be","real-word",1,0,500
"lex_task","noi","ne",0,1,1,"na","na","na","na","CVVCV","noi","ne","prefix-false",0,0,500
"lex_task","flu","me",0,1,1,"na","na","na","na","CCVCV","flu","me","prefix-false",0,0,500
"lex_task","va","che",1,0,0,"na","na","na","47.71","CVCCV","va","che","real-word",1,0,500
"lex_task","tru","te",0,1,2,"na","na","na","na","CCVCV","tru","te","prefix-false",0,0,500
"lex_task","ma","rin",1,0,0,"na","na","na","13.96","CVCVC","ma","rin","real-word",1,0,500
"lex_task","pha","re",1,0,0,"na","na","na","11.88","CCVCV","pha","re","real-word",1,0,500
"lex_task","ron","ble",0,2,3,"na","na","na","na","CVCCCV","ron","ble","suffix-false",0,0,500
"lex_task","pa","che",0,1,1,"na","na","na","na","CVCCV","pa","che","prefix-false",0,0,500
"lex_task","vi","rie",0,2,3,"na","na","na","na","CVCVV","vi","rie","suffix-false",0,0,500
"lex_task","moi","ne",1,0,0,"na","na","na","11.82","CVVCV","moi","ne","real-word",1,0,500
"lex_task","vi","vre",1,0,0,"na","na","na","12.61","CVCCV","vi","vre","real-word",1,0,500
"lex_task","po","mue",0,2,3,"na","na","na","na","CVCVV","po","mue","suffix-false",0,0,500
"lex_task","sa","din",0,2,3,"na","na","na","na","CVCVC","sa","din","suffix-false",0,0,500
"lex_task","chu","le",0,2,3,"na","na","na","na","CCVCV","chu","le","suffix-false",0,0,500
"lex_task","plu","me",1,0,0,"na","na","na","15.29","CCVCV","plu","me","real-word",1,0,500
"lex_task","sa","pin",1,0,0,"na","na","na","6.91","CVCVC","sa","pin","real-word",1,0,500
"lex_task","cra","be",1,0,0,"na","na","na","8.14","CCVCV","cra","be","real-word",1,0,500
