"num1","num2","dec1","unit1","dec2","unit2","dec_dist","unit_dist","num_dist","min_dec","max_dec","min_unit","max_unit","min_num","max_num","vig1","vig2","b20u1","b20u2","within_dec","within_vig","comp","comp_b20","greater60","smaller60","num1_greater","num2_greater","condition","orig_item","dist_discrepancy","dec_pair","matched_group","stim1","stim2","stim1_correct","is_null","isi","stim_shift"
42,39,4,2,3,9,1,7,3,3,4,2,9,39,42,4,3,2,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10i_b20i","32_49",14,"30s_40s","30s_40s_1","42","39",1,0,1051.8079065336206,"no-tilt"
57,42,5,7,4,2,1,5,15,4,5,2,7,42,57,5,4,7,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","42_57",0,"40s_50s","40s_50s_1","57","  42",1,0,1032.0511115732918,"stim2-tilt-right"
83,97,8,3,9,7,1,4,14,8,9,3,7,83,97,8,8,3,17,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20w","83_97",0,"80s_90s","80s_90s_0","  83","97",0,0,1843.740694728448,"stim1-tilt-right"
73,89,7,3,8,9,1,6,16,7,8,3,9,73,89,6,8,13,9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20i","73_89",0,"70s_80s","70s_80s_0","73","89  ",0,0,1167.372360034695,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##  ","##",NA,1,1340.7364298900616,"stim1-tilt-left"
93,67,9,3,6,7,3,4,26,6,9,3,7,67,93,8,6,13,7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,"gr60_b10i_b20c","63_97",8,"60s_90s","60s_90s_1","93","67  ",1,0,1452.0479367417583,"stim2-tilt-left"
79,83,7,9,8,3,1,6,4,7,8,3,9,79,83,6,8,19,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","73_89",12,"70s_80s","70s_80s_0","  79","83",0,0,1569.323441926607,"stim1-tilt-right"
89,74,8,9,7,4,1,5,15,7,8,4,9,74,89,8,6,9,14,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,"gr60_b10c_b20i","74_89",0,"70s_80s","70s_80s_1","89  ","74",1,0,1265.6110420926727,"stim1-tilt-left"
67,68,6,7,6,8,0,1,1,6,6,7,8,67,68,6,6,7,8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10w_b20w","67_68",0,"60s_60s","60s_60s_0","67","  68",0,0,1272.6485749234744,"stim2-tilt-right"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##",NA,1,1464.3302399475185,"no-tilt"
