"num1","num2","dec1","unit1","dec2","unit2","dec_dist","unit_dist","num_dist","min_dec","max_dec","min_unit","max_unit","min_num","max_num","vig1","vig2","b20u1","b20u2","within_dec","within_vig","comp","comp_b20","greater60","smaller60","num1_greater","num2_greater","condition","orig_item","dist_discrepancy","dec_pair","matched_group","stim1","stim2","stim1_correct","is_null","isi","stim_shift"
43,25,4,3,2,5,2,2,18,2,4,3,5,25,43,4,2,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10i_b20i","23_45",4,"20s_40s","20s_40s_1","43  ","25",1,0,2360.1535339251072,"stim1-tilt-left"
73,98,7,3,9,8,2,5,25,7,9,3,8,73,98,6,8,13,18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0,1,"gr60_b10c_b20c","73_98",0,"70s_90s","70s_90s_0","  73","98",0,0,1569.323441926607,"stim1-tilt-right"
38,54,3,8,5,4,2,4,16,3,5,4,8,38,54,3,5,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","34_58",8,"30s_50s","30s_50s_0","38","  54",0,0,1125.2837397506826,"stim2-tilt-right"
49,42,4,9,4,2,0,7,7,4,4,2,9,42,49,4,4,9,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,"sm60_b10w_b20w","42_49",0,"40s_40s","40s_40s_1","49","42",1,0,1424.780686069488,"no-tilt"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##  ",NA,1,1579.336656488399,"stim2-tilt-left"
98,72,9,8,7,2,2,6,26,7,9,2,8,72,98,8,6,18,12,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","72_98",0,"70s_90s","70s_90s_1","98","72",1,0,1456.0406893672289,"no-tilt"
24,57,2,4,5,7,3,3,33,2,5,4,7,24,57,2,5,4,7,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,1,"sm60_b10c_b20c","24_57",0,"20s_50s","20s_50s_0","24","57  ",0,0,1034.2442446144887,"stim2-tilt-left"
39,42,3,9,4,2,1,7,3,3,4,2,9,39,42,3,4,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","32_49",14,"30s_40s","30s_40s_0","39  ","42",0,0,3000,"stim1-tilt-left"
34,36,3,4,3,6,0,2,2,3,3,4,6,34,36,3,3,4,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","34_36",0,"30s_30s","30s_30s_0","34","  36",0,0,1221.0344929320436,"stim2-tilt-right"
39,24,3,9,2,4,1,5,15,2,3,4,9,24,39,3,2,9,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","24_39",0,"20s_30s","20s_30s_1","  39","24",1,0,1925.5128526390363,"stim1-tilt-right"
68,93,6,8,9,3,3,5,25,6,9,3,8,68,93,6,8,8,13,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,"gr60_b10i_b20c","63_98",10,"60s_90s","60s_90s_0","68","93  ",0,0,1286.7306358744213,"stim2-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"  ##","##",NA,1,2391.50525420634,"stim1-tilt-right"
82,65,8,2,6,5,2,3,17,6,8,2,5,65,82,8,6,2,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","62_85",6,"60s_80s","60s_80s_1","82","  65",1,0,3000,"stim2-tilt-right"
38,25,3,8,2,5,1,3,13,2,3,5,8,25,38,3,2,8,5,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,1,0,"sm60_b10c_b20c","25_38",0,"20s_30s","20s_30s_1","38","25",1,0,1070.3404083121432,"no-tilt"
46,52,4,6,5,2,1,4,6,4,5,2,6,46,52,4,5,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10i_b20i","42_56",8,"40s_50s","40s_50s_0","46  ","52",0,0,2596.301826835799,"stim1-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##  ",NA,1,1063.3691232786641,"stim2-tilt-left"
52,57,5,2,5,7,0,5,5,5,5,2,7,52,57,5,5,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,1,"sm60_b10w_b20w","52_57",0,"50s_50s","50s_50s_0","52","  57",0,0,1065.7465731353395,"stim2-tilt-right"
82,76,8,2,7,6,1,4,6,7,8,2,6,76,82,8,6,2,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","72_86",8,"70s_80s","70s_80s_1","  82","76",1,0,2557.8705410849916,"stim1-tilt-right"
98,74,9,8,7,4,2,4,24,7,9,4,8,74,98,8,6,18,14,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","74_98",0,"70s_90s","70s_90s_1","98","74",1,0,1138.646883853214,"no-tilt"
69,83,6,9,8,3,2,6,14,6,8,3,9,69,83,6,8,9,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10i_b20i","63_89",12,"60s_80s","60s_80s_0","69  ","83",0,0,1058.0270744838665,"stim1-tilt-left"
68,94,6,8,9,4,3,4,26,6,9,4,8,68,94,6,8,8,14,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,"gr60_b10i_b20c","64_98",8,"60s_90s","60s_90s_0","68","  94",0,0,2459.5236911453608,"stim2-tilt-right"
85,62,8,5,6,2,2,3,23,6,8,2,5,62,85,8,6,5,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,0,"gr60_b10c_b20c","62_85",0,"60s_80s","60s_80s_1","85  ","62",1,0,3000,"stim1-tilt-left"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"##","##  ",NA,1,1671.8638690723235,"stim2-tilt-left"
95,94,9,5,9,4,0,1,1,9,9,4,5,94,95,8,8,15,14,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","94_95",0,"90s_90s","90s_90s_1","95","94",1,0,1694.9619586319243,"no-tilt"
84,89,8,4,8,9,0,5,5,8,8,4,9,84,89,8,8,4,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10w_b20w","84_89",0,"80s_80s","80s_80s_0","  84","89",0,0,2347.480979315963,"stim1-tilt-right"
67,93,6,7,9,3,3,4,26,6,9,3,7,67,93,6,8,7,13,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,"gr60_b10i_b20c","63_97",8,"60s_90s","60s_90s_0","67","93  ",0,0,1482.6911740814019,"stim2-tilt-left"
63,79,6,3,7,9,1,6,16,6,7,3,9,63,79,6,6,3,19,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20w","63_79",0,"60s_70s","60s_70s_0","63","79",0,0,2115.771782604519,"no-tilt"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null_event",NA,NA,NA,NA,"  ##","##",NA,1,2007.5878141932199,"stim1-tilt-right"
94,68,9,4,6,8,3,4,26,6,9,4,8,68,94,8,6,14,8,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,0,"gr60_b10i_b20c","64_98",8,"60s_90s","60s_90s_1","94","  68",1,0,1204.5765649947539,"stim2-tilt-right"
98,92,9,8,9,2,0,6,6,9,9,2,8,92,98,8,8,18,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10w_b20w","92_98",0,"90s_90s","90s_90s_1","98  ","92",1,0,1432.536098483596,"stim1-tilt-left"
82,96,8,2,9,6,1,4,14,8,9,2,6,82,96,8,8,2,16,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,1,"gr60_b10c_b20w","82_96",0,"80s_90s","80s_90s_0","82","96  ",0,0,1884.2282173954807,"stim2-tilt-left"
94,76,9,4,7,6,2,2,18,7,9,4,6,76,94,8,6,14,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,"gr60_b10i_b20i","74_96",4,"70s_90s","70s_90s_1","94  ","76",1,0,1758.785687328288,"stim1-tilt-left"
72,78,7,2,7,8,0,6,6,7,7,2,8,72,78,6,6,12,18,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,"gr60_b10w_b20w","72_78",0,"70s_70s","70s_70s_0","72","78",0,0,1064.8587456988778,"no-tilt"
