"orthography_phonology","word_1","word_2","does_rhyme","syllables_word_1","syllables_word_2","word_1_frequency","word_2_frequency","CV_word_1","CV_word_2","stim1","stim2","condition","stim1_correct","is_null","isi"
"eq_phon_dif_orth","mer","verre",1,1,2,106.61,176.57,"CVC","CVCCV","mer","verre","eq-phon-dif-orth",1,0,500
"dif_phon_dif_orth","dire","froid",0,1,1,5946.15,127.22,"CVCV","CCVVC","dire","froid","dif-phon-dif-orth",0,0,500
"dif_phon_dif_orth","coupe","bec",0,2,1,155.82,7.39,"CVVCV","CVC","coupe","bec","dif-phon-dif-orth",0,0,500
"dif_phon_dif_orth","vrai","plat",0,1,1,807.03,30.24,"CCVV","CCVC","vrai","plat","dif-phon-dif-orth",0,0,500
"eq_phon_eq_orth","mouche","louche",1,2,2,24.65,1.86,"CVVCCV","CVVCCV","mouche","louche","eq-phon-eq-orth",1,0,500
"dif_phon_eq_orth","gentil","viril",0,2,2,9.98,4.82,"CVCCVC","CVCVC","gentil","viril","dif-phon-eq-orth",0,0,500
"dif_phon_eq_orth","donc","tronc",0,1,1,612.51,5.81,"CVCC","CCVCC","donc","tronc","dif-phon-eq-orth",0,0,500
"dif_phon_eq_orth","tennis","souris",0,2,2,11.37,21.94,"CVCCVC","CVVCVC","tennis","souris","dif-phon-eq-orth",0,0,500
"eq_phon_eq_orth","buisson","cuisson",1,2,2,7.73,1.39,"CVVCCVC","CVVCCVC","buisson","cuisson","eq-phon-eq-orth",1,0,500
"eq_phon_dif_orth","place","basse",1,2,2,301.3,85.56,"CCVCV","CVCCV","place","basse","eq-phon-dif-orth",1,0,500
"eq_phon_dif_orth","cou","loup",1,1,1,44.09,30.42,"CVV","CVVC","cou","loup","eq-phon-dif-orth",1,0,500
"dif_phon_eq_orth","hiver","boucher",0,2,2,38.96,8.26,"CVCVC","CVVCCVC","hiver","boucher","dif-phon-eq-orth",0,0,500
"eq_phon_eq_orth","vent","dent",1,1,1,77.34,74.2,"CVCC","CVCC","vent","dent","eq-phon-eq-orth",1,0,500
"eq_phon_dif_orth","chaud","faux",1,1,1,84.16,122.23,"CCVVC","CVVC","chaud","faux","eq-phon-dif-orth",1,0,500
"dif_phon_dif_orth","île","ruelle",0,1,2,58.35,6.25,"VCV","CVVCCV","île","ruelle","dif-phon-dif-orth",0,0,500
"dif_phon_dif_orth","date","saut",0,2,1,31.41,14.77,"CVCV","CVVC","date","saut","dif-phon-dif-orth",0,0,500
"eq_phon_dif_orth","sous","doux",1,1,1,315.49,89.14,"CVVC","CVVC","sous","doux","eq-phon-dif-orth",1,0,500
"dif_phon_eq_orth","fusil","avril",0,2,2,48.51,11.23,"CVCVC","VCCVC","fusil","avril","dif-phon-eq-orth",0,0,500
"eq_phon_eq_orth","foule","poule",1,2,2,27.81,36.7,"CVVCV","CVVCV","foule","poule","eq-phon-eq-orth",1,0,500
"eq_phon_dif_orth","selle","réel",1,2,2,10.26,38.7,"CVCCV","CVVC","selle","réel","eq-phon-dif-orth",1,0,500
"dif_phon_dif_orth","mois","sain",0,1,1,312.31,26.63,"CVVC","CVVC","mois","sain","dif-phon-dif-orth",0,0,500
"dif_phon_eq_orth","tabac","hamac",0,2,2,16,1.84,"CVCVC","CVCVC","tabac","hamac","dif-phon-eq-orth",0,0,500
