"task","word_1","word_2","correct","error_position_syllable_word_2","error_position_word_2","inflection_type_word_2","syllable","conj_form","plural_form","word_frequency_word_2","CV_word_1","CV_word_2","stim1","stim2","condition","stim1_correct","is_null","isi"
"conjugation","wir","schlafen",1,"0","0",1,2,"1_ps_plr","na","385","CVC","CCCCVCVC","wir","schlafen","verb-true",1,0,500
"declination","manche","Gärtens",0,"na","na",2,2,"na","2",".","CVCCCV","CVCCVCC","manche","Gärtens","noun-false",0,0,500
"declination","fünf","Bilders",0,"na","na",2,2,"na","4",".","CVCC","CVCCVCC","fünf","Bilders","noun-false",0,0,500
"declination","manche","Bücher",1,"na","na",2,2,"na","2","7114","CVCCCV","CVVCVC","manche","Bücher","noun-true",1,0,500
"conjugation","du ","wohnst",1,"0","0",1,1,"2_ps_sgl","na","87","CV","CVCCCC","du ","wohnst","verb-true",1,0,500
"conjugation","ich","gehe",1,"0","0",1,2,"1_ps_sgl","na","5315","VCC","CVCV","ich","gehe","verb-true",1,0,500
"conjugation","wir","esst",0,"1","2",1,1,"1_ps_plr","na",".","CVC","VCCC","wir","esst","verb-false",0,0,500
"conjugation","ihr","zählst",0,"1","3",1,1,"2_ps_plr","na","21","VCC","CVCCCC","ihr","zählst","verb-false",0,0,500
"conjugation","du ","nimmst",1,"0","0",1,1,"2_ps_sgl","na","458","CV","CVCCCC","du ","nimmst","verb-true",1,0,500
"example_instruction_conjugation","ihr","habt",1,"0","0",1,1,"2_ps_plr","na","3144","VCC","CVCC","ihr","habt","verb-true",1,0,500
"declination","zwei","Dose",0,"na","na",2,2,"na","3","399","CCVV","CVCV","zwei","Dose","noun-false",0,0,500
"declination","sieben","Frauen",1,"na","na",2,2,"na","5","18546","CVVCVC","CCVVVC","sieben","Frauen","noun-true",1,0,500
"example_instruction_declination","zehn","Nummers",0,"na","na",2,2,"na","4",".","CVCC","CVCCVCC","zehn","Nummers","noun-false",0,0,500
"declination","neun","Wänge",0,"na","na",2,2,"na","6",".","CVVC","CVCCV","neun","Wänge","noun-false",0,0,500
